"geo_area","pop2021","visitor2021","ratio","visitorTOpop","region","fips","x","y","order","hole","piece","group","abbr","full","county"
"Clark",3855,58114,0.07,1508,"Glacial Lakes & Prairies","46025",158239.45795642,19017.8015467,42151,FALSE,1,"46025.1","SD","South Dakota","Clark County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",231617.84338004,-239281.80780796,42152,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",230574.26203144,-209127.51280624,42153,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",249757.60031178,-208367.22543967,42154,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",259370.7479752,-208005.10580656,42155,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",260864.92533381,-250566.59800042,42156,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",252609.49106926,-247198.33432508,42157,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",247841.03867985,-248408.23556742,42158,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",243636.14584822,-245003.16251856,42159,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",242860.56051055,-244374.45444805,42160,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",234136.77692184,-243629.30993024,42161,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",231310.04838077,-241537.48760346,42162,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Clay",15150,188947,0.08,1247,"Southeast","46027",231617.84338004,-239281.80780796,42163,FALSE,1,"46027.1","SD","South Dakota","Clay County"
"Codington",28427,543262,0.05,1911,"Glacial Lakes & Prairies","46029",196457.28266227,19900.72824623,42164,FALSE,1,"46029.1","SD","South Dakota","Codington County"
"Codington",28427,543262,0.05,1911,"Glacial Lakes & Prairies","46029",215668.81332963,20473.36327932,42165,FALSE,1,"46029.1","SD","South Dakota","Codington County"
"Codington",28427,543262,0.05,1911,"Glacial Lakes & Prairies","46029",217456.56857542,20607.38425614,42166,FALSE,1,"46029.1","SD","South Dakota","Codington County"
"Codington",28427,543262,0.05,1911,"Glacial Lakes & Prairies","46029",244286.30910723,21405.54117406,42167,FALSE,1,"46029.1","SD","South Dakota","Codington County"
"Codington",28427,543262,0.05,1911,"Glacial Lakes & Prairies","46029",245154.09237935,2145.03038972,42168,FALSE,1,"46029.1","SD","South Dakota","Codington County"
"Codington",28427,543262,0.05,1911,"Glacial Lakes & Prairies","46029",245715.29812339,-17024.86897828,42169,FALSE,1,"46029.1","SD","South Dakota","Codington County"
"Codington",28427,543262,0.05,1911,"Glacial Lakes & Prairies","46029",197881.38109769,-18729.20408459,42170,FALSE,1,"46029.1","SD","South Dakota","Codington County"
"Codington",28427,543262,0.05,1911,"Glacial Lakes & Prairies","46029",196457.28266227,19900.72824623,42171,FALSE,1,"46029.1","SD","South Dakota","Codington County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-154677.66350941,106944.28270274,42172,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-154518.22466387,106940.17305224,42173,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-138749.39398437,106553.87496009,42174,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-120404.01249201,106139.74597498,42175,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-105561.59034768,105870.03551089,42176,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-85580.00940732,105551.92023073,42177,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-58927.9451831,105219.1340681,42178,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-39585.45812549,105053.87872295,42179,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-39573.39396087,105053.79436415,42180,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-38611.620064,105045.32218483,42181,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-29966.95376755,96715.04973322,42182,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-23990.0827657,76729.16115782,42183,FALSE,1,"46031.1","SD","South Dakota","Corson County"
"Corson",3872,25043,0.15,647,"Missouri River","46031",-31592.60586389,72356.96298372,42184,FALSE,1,"46031.1","SD","South Dakota","Corson County"
