city,YEAR,total arrivals by city,pct_of_county,county,arrival_unexposed_PCT,arrival_exposed_PCT,lat,lon
Davis,2020,1291,0.041683991740,Turner,0.9393939393939,0.0606060606061,43.29115,-96.93874
Davis,2021,778,0.019990358223,Turner,0.9333333333333,0.0666666666667,43.29115,-96.93874
De Smet,2019,18580,0.235908344000,Kingsbury,0.9029126213592,0.0970873786408,44.40778,-97.56762
De Smet,2020,14649,0.246952938018,Kingsbury,0.8722919042189,0.1277080957811,44.40778,-97.56762
De Smet,2021,19913,0.265655072133,Kingsbury,0.8275862068966,0.1724137931034,44.40778,-97.56762
Deadwood,2019,353169,0.355726206207,Lawrence,0.8944305901912,0.1055694098088,44.32023,-103.70483
Deadwood,2020,281143,0.334692780914,Lawrence,0.8147305467074,0.1852694532926,44.32023,-103.70483
Deadwood,2021,291331,0.308620805509,Lawrence,0.7461319580295,0.2538680419705,44.32023,-103.70483
Dell Rapids,2019,31130,0.011062250441,Minnehaha,0.9089108910891,0.0910891089109,43.84078,-96.72126
Dell Rapids,2020,21793,0.011378202858,Minnehaha,0.8974700399467,0.1025299600533,43.84078,-96.72126
Dell Rapids,2021,33416,0.013367451586,Minnehaha,0.8590504451039,0.1409495548961,43.84078,-96.72126
Delmont,2019,3020,0.115490653105,Douglas,0.9263157894737,0.0736842105263,43.25182,-98.16035
Delmont,2020,3570,0.149193847238,Douglas,0.9299363057325,0.0700636942675,43.25182,-98.16035
Delmont,2021,2969,0.109165699353,Douglas,0.8666666666667,0.1333333333333,43.25182,-98.16035
Dimock,2019,2869,0.058593919047,Hutchinson,0.9565217391304,0.0434782608696,43.47897,-98.0208
Dimock,2020,2153,0.061112027451,Hutchinson,0.8854166666667,0.1145833333333,43.47897,-98.0208
Dimock,2021,1509,0.031107744496,Hutchinson,0.8641975308642,0.1358024691358,43.47897,-98.0208
Doland,2019,5630,0.087403381552,Spink,0.9000000000000,0.1000000000000,44.86354,-98.10416
Doland,2020,5795,0.104838126329,Spink,0.8287671232877,0.1712328767123,44.86354,-98.10416
Doland,2021,6553,0.093913534774,Spink,0.8960396039604,0.1039603960396,44.86354,-98.10416
Draper,2019,5337,0.062974871568,Jones,0.9457364341085,0.0542635658915,43.96446,-100.51825
Draper,2020,6775,0.097374035497,Jones,0.8907849829352,0.1092150170648,43.96446,-100.51825
Draper,2021,5257,0.067431132583,Jones,0.8762376237624,0.1237623762376,43.96446,-100.51825
Dupree,2019,7086,1.362301271227,Ziebach,0.8795180722892,0.1204819277108,45.06406,-101.6206
Dupree,2020,7256,1.333094987591,Ziebach,0.9289215686275,0.0710784313725,45.06406,-101.6206
Dupree,2021,10280,1.215558662492,Ziebach,0.8978494623656,0.1021505376344,45.06406,-101.6206
Eagle Butte,2019,24767,0.512441193628,Dewey,0.9194078947368,0.0805921052632,44.99681,-101.21456
Eagle Butte,2020,14679,0.408933851739,Dewey,0.9297297297297,0.0702702702703,44.99681,-101.21456
Eagle Butte,2021,23665,0.503474413666,Dewey,0.9077598828697,0.0922401171303,44.99681,-101.21456
Eden,2019,7701,0.140579462234,Marshall,0.9006211180124,0.0993788819876,45.61668,-97.37952
Eden,2020,7969,0.193821026762,Marshall,0.8773841961853,0.1226158038147,45.61668,-97.37952
Eden,2021,10780,0.219564149545,Marshall,0.8157894736842,0.1842105263158,45.61668,-97.37952
Edgemont,2019,24516,0.117981435575,Fall River,0.9368932038835,0.0631067961165,43.2851,-103.83311
Edgemont,2020,26354,0.159925662718,Fall River,0.9199739752765,0.0800260247235,43.2851,-103.83311
Edgemont,2021,33886,0.174679167063,Fall River,0.8774373259053,0.1225626740947,43.2851,-103.83311
Egan,2019,2002,0.045393677042,Moody,0.9574468085106,0.0425531914894,44.00083,-96.66277
Egan,2020,2153,0.058931355612,Moody,0.9438202247191,0.0561797752809,44.00083,-96.66277
Egan,2021,561,0.014078673927,Moody,0.8809523809524,0.1190476190476,44.00083,-96.66277
Elk Point,2019,22405,0.095796372656,Union,0.9182305630027,0.0817694369973,42.6982,-96.67681
Elk Point,2020,19422,0.112821776636,Union,0.8853046594982,0.1146953405018,42.6982,-96.67681
Elk Point,2021,17342,0.085219822226,Union,0.8413205537806,0.1586794462194,42.6982,-96.67681
Elkton,2019,10738,0.023658178850,Brookings,0.9317269076305,0.0682730923695,44.24483,-96.49858
Elkton,2020,8609,0.033723202121,Brookings,0.9179687500000,0.0820312500000,44.24483,-96.49858
Elkton,2021,10227,0.029660160191,Brookings,0.8651685393258,0.1348314606742,44.24483,-96.49858
